iter	Passed	Remaining
0	5	508
1	9	442
2	12	406
3	15	375
4	19	369
5	23	364
6	28	375
7	32	374
8	36	365
9	40	360
10	43	354
11	47	350
12	50	338
13	52	325
14	55	314
15	57	301
16	59	288
17	61	278
18	62	267
19	64	256
20	65	246
21	66	237
22	68	229
23	69	220
24	70	212
25	71	204
26	73	197
27	74	190
28	75	184
29	76	177
30	77	171
31	78	165
32	79	160
33	80	155
34	81	150
35	81	145
36	82	140
37	83	136
38	84	132
39	85	128
40	86	124
41	86	119
42	87	116
43	88	112
44	89	108
45	89	105
46	90	102
47	91	98
48	92	95
49	92	92
50	93	89
51	94	87
52	95	84
53	95	81
54	96	78
55	97	76
56	98	73
57	98	71
58	99	69
59	100	66
60	101	64
61	101	62
62	102	60
63	103	58
64	104	56
65	105	54
66	105	52
67	106	50
68	107	48
69	108	46
70	108	44
71	109	42
72	110	40
73	111	39
74	111	37
75	112	35
76	113	33
77	114	32
78	114	30
79	115	28
80	116	27
81	117	25
82	118	24
83	118	22
84	119	21
85	120	19
86	121	18
87	121	16
88	122	15
89	123	13
90	124	12
91	125	10
92	125	9
93	126	8
94	127	6
95	128	5
96	129	3
97	129	2
98	130	1
99	131	0
